TARGET MATERIALS (inputs),
Element,Fractional Weight,
Target Isotopes,Transmuted Isotopes,Activity (ci),Activity Decay (ci),
ni60,cu60,14400.000,0.000,16000.000,
ni61,cu61,24.300,0.000,27.000,
ni62,cu62,34.200,0.000,38.000,
ni64,cu64,39.500,0.001,43.900,
cr52,mn52,0.000,0.000,0.000,
cr54,mn54,1.510,1.470,1.670,
cr53,mn53,0.001,0.001,0.001,
fe56,co56,0.000,0.000,0.000,
fe57,co57,0.461,0.449,0.512,
fe58,co58,1.310,0.000,1.460,
ti47,v47,8.330,0.000,9.260,
ti48,v48,6.180,4.010,6.870,
ti49,v49,0.681,0.667,0.757,
al27,si27,0.000,0.000,0.000,
nb93,mo93,11.100,0.000,12.400,
nb93m,mo93m,0.000,0.000,0.000,
mn55,fe55,0.691,0.686,0.768,
ta181,w181,0.002,0.002,0.002,
cu63,zn63,11.200,0.000,12.500,
cu65,zn65,0.952,0.926,1.060,


